Symbol,Name,Exchange,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PSA^C,Public Storage,NYSE,24.9,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^c
PSA^D,Public Storage,NYSE,23.9162,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^d
PSA^E,Public Storage,NYSE,23.44,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^e
PSA^S,Public Storage,NYSE,25.31,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^s
PSA^T,Public Storage,NYSE,25.18,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^t
PSA^U,Public Storage,NYSE,25.34,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^u
PSA^V,Public Storage,NYSE,25.0228,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa^v
PSA^W,Public Storage,NYSE,24.93,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psa^w
PSA^X,Public Storage,NYSE,25.07,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psa^x
PSA^Y,Public Storage,NYSE,26.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psa^y
PSA^Z,Public Storage,NYSE,26.57,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/psa^z
PHM,"PulteGroup, Inc.",NYSE,18.24,$6.03B,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/phm
PBYI,Puma Biotechnology Inc,NYSE,36.2,$1.18B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pbyi
PSTG,"Pure Storage, Inc. ",NYSE,11.7,$2.3B,2015,Technology,Electronic Components,http://www.nasdaq.com/symbol/pstg
PCF,Putnam High Income Bond Fund,NYSE,7.72,$102.57M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcf
PMM,Putnam Managed Municipal Income Trust,NYSE,7.53,$405.38M,1989,n/a,n/a,http://www.nasdaq.com/symbol/pmm
PIM,Putnam Master Intermediate Income Trust,NYSE,4.36,$236.14M,1988,n/a,n/a,http://www.nasdaq.com/symbol/pim
PMO,Putnam Municipal Opportunities Trust,NYSE,12.48,$475.67M,1993,n/a,n/a,http://www.nasdaq.com/symbol/pmo
PPT,Putnam Premier Income Trust,NYSE,4.76,$520.84M,1988,n/a,n/a,http://www.nasdaq.com/symbol/ppt
PVH,PVH Corp.,NYSE,104.32,$8.37B,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/pvh
PZN,Pzena Investment Management Inc,NYSE,7.23,$486.1M,2007,Finance,Investment Managers,http://www.nasdaq.com/symbol/pzn
QTWO,"Q2 Holdings, Inc.",NYSE,27.55,$1.1B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/qtwo
QEP,"QEP Resources, Inc.",NYSE,16.09,$3.85B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/qep
QTS,"QTS Realty Trust, Inc.",NYSE,44.77,$2.14B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/qts
QUAD,"Quad Graphics, Inc",NYSE,24.18,$1.21B,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/quad
KWR,Quaker Chemical Corporation,NYSE,106.44,$1.41B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kwr
QCP,"Quality Care Properties, Inc.",NYSE,13.5,$1.26B,2016,n/a,n/a,http://www.nasdaq.com/symbol/qcp
NX,Quanex Building Products Corporation,NYSE,15.65,$535.55M,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/nx
PWR,"Quanta Services, Inc.",NYSE,28.08,$4.05B,n/a,Capital Goods,Engineering & Construction,http://www.nasdaq.com/symbol/pwr
QTM,Quantum Corporation,NYSE,0.7102,$191.18M,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/qtm
DGX,Quest Diagnostics Incorporated,NYSE,81.22,$11.26B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/dgx
